Text,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
1.txt,katar,wyścig,verstappen,gp,norris,brytyjczyk,mclarena,zdobycie,punkt,runda
2.txt,fc,mecz,chelsea,ekipa,liga,barcelony,trenerski,flicka,mistrz,starcie
3.txt,liverpool,arne,slota,the,reds,psv,anfield,mecz,liga,klub
4.txt,strzelec,piłkarz,mistrzostwo,klub,polski,najlepszy,reprezentacja,zdobywca,plebiscyt,król
5.txt,split,fiction,takes,two,it,gra,wy,electronic,arts,tak
6.txt,eskalopki,kotlecik,patelnia,mięso,filet,smażyć,palnik,mąka,tarty,kaloria
7.txt,voice,poland,of,finał,the,ania,iwanek,kuba,plejada,wystąpić
8.txt,gemini,google,ai,agent,wyszukiwanie,poprosić,usa,narzędzie,wyszukiwarce,antigravity
9.txt,cloudflare,usługa,awaria,komunikat,problem,błąd,serwis,com,poprawka,strona
10.txt,kucharczyk,makau,wyścig,niedosyt,weekend,trochę,tymek,wrócić,zrobić,niedziela
11.txt,krater,wulkan,etna,przewodnik,górny,kolejka,autobus,erupcja,parking,szczytowy
12.txt,formuła,kierowca,startować,toro,rosso,podium,racing,samochód,wyścig,verstappen
13.txt,verstappen,norris,max,zwycięstwo,tytuł,punkt,wyścig,zabi,lando,vegas
14.txt,mate,yerba,napar,tykwa,ostrokrzew,susz,b,południowy,liść,paragwajskiego
15.txt,festiwal,sfi,prelegent,koło,it,organizator,edycja,student,naukowy,jakub
16.txt,sh,fujimoto,chainsaw,man,nen,jump,mangi,grudzień,magazyn,demon
17.txt,demon,tanjir,nezuko,filar,księżyc,zabójca,muzana,korpus,tamayo,muzan
18.txt,kawa,chronić,zachorowanie,poprawiać,filiżanka,ryzyko,cukrzyca,choroba,zawarty,niwelować
19.txt,poker,gra,kart,pokerowy,automat,talia,wideo,gracz,grać,rodzaj
20.txt,python,pythona,polecenie,hello,wiersz,plik,edytor,język,print,users
21.txt,słowo,liczenie,tekst,licznik,wyraz,praca,minimalny,przycisk,maksymalny,liczyć
22.txt,zima,wir,polarny,prognoza,śnieg,meteorolog,imgw,ni,styczeń,rozpad
23.txt,papież,wizyta,xiv,leon,turcji,odwiedzić,ekumeniczny,sobór,libanie,spotkać
24.txt,dziecko,kostium,purpurowy,pizzerii,impreza,marionetka,fazbear,złoty,ponieważ,królik
25.txt,jamnik,pies,rasa,charakter,myśliwski,inteligencja,polowanie,borsuk,upór,psiak
26.txt,alicante,szopka,miasto,metr,bożonarodzeniowy,figura,aragonii,p,n,mierzący
27.txt,rolex,zegarek,wilsdorf,mechanizm,szwajcarski,hans,firma,wprowadzić,sa,sięgający
28.txt,jedenastka,hawkins,joyce,hopper,dustin,billy,rosyjski,mike,willa,łupieżca
29.txt,ziemniak,witamina,dieta,odżywczy,błonnik,b,kcal,gram,regulacja,kaloryczność
30.txt,fantasy,warhammera,warhammer,imperium,games,kraina,chaos,świat,wydany,stary
31.txt,gra,among,us,załoga,oszust,statek,zapowiedzieć,nintendo,awards,członek
32.txt,drwal,burger,kanapka,mcdonald,burgera,sezonowy,jedzenie,ser,jesienno,comfort
33.txt,apple,iphone,pro,max,przycisk,gb,xiaomi,ja,telefon,hz
34.txt,grzyb,gatunek,roślina,zwierzę,organiczny,organizm,systematyk,żywy,stosunek,flora
35.txt,użytkownik,regulamin,norma,treść,forum,społeczność,publikowanie,dyskusja,zakaz,zachowanie
36.txt,zakon,rycerz,komandor,templariusz,świątynia,fratres,zakonny,reguła,prowincja,de
37.txt,cukier,kg,prof,bogdański,spożywczy,gram,specjalista,smakowy,otyłość,żywność
38.txt,vegas,las,hazard,pustynia,kasyno,miasto,r,gangster,hotel,pustynny
39.txt,mięso,patyczek,kawałek,piekarnik,frytki,umieścić,sos,płaski,kebab,gotowy
40.txt,kaucyjny,kaucja,opakowanie,butelka,system,litr,plastikowy,wprowadzenie,objęty,puszek
41.txt,tramwaj,mpk,wagon,kraków,dwukierunkowy,metrowy,dostawa,skład,wysokopodłogowe,kwartał
42.txt,dzierganie,włóczka,drut,oczko,motywacja,wzór,projekt,początkujący,ścieg,polubić
43.txt,sen,faza,spać,godzina,rem,nrem,cykl,potrzebować,ciąg,starszy
44.txt,kot,alergia,alergen,objaw,kontakt,fel,symptom,lek,uczulać,koci
45.txt,dubaju,r,arabski,odkrycie,oman,dhabi,dubaj,burdż,miasto,wiek
46.txt,zakład,mielec,samolot,pzl,lotniczy,wytwórnia,wsk,he,lim,lipiec
47.txt,benz,daimler,mercedes,silnik,pojazd,samochód,marek,aga,daimlera,jellinek
48.txt,studia,wydział,przedmiot,komunikacja,elektroniczny,kierunek,społeczny,naukowy,program,przetwarzanie
49.txt,lektura,wolny,bog,my,ty,bogurodzica,człowieczy,wolnelektury,pl,maryja
50.txt,uniwersytet,uczelnia,wydział,jagielloński,collegium,student,profesor,uj,xv,akademicki
